bdate	workdate
	
1992-02-18	
1982-08-20	
	
1992-02-18	2019-04-23
1992-06-21	2019-04-03
1995-05-19	2019-02-21
1995-08-07	2019-03-13
1998-05-24	2018-11-01
1995-10-24	2018-11-05
1996-04-20	2018-11-08
1997-04-20	2018-11-08
1996-05-08	2019-05-06
1994-10-20	2019-04-08
1994-10-07	2019-03-14
1994-10-08	2019-08-10
1992-04-29	2019-10-16
1994-01-03	2018-12-04
1990-03-27	2018-10-22
1997-11-20	2018-10-22
1994-08-13	2018-10-22
1990-03-15	2019-02-28
1993-09-15	2019-08-24
1996-07-18	2019-10-20
1995-07-21-	2019-10-27
